global_rmse,occupied_rmse,weighted_rmse
7.596286010742187500e+01,7.944480895996093750e+01,1.176966323852539062e+02
7.202624511718750000e+01,7.532775115966796875e+01,1.103529739379882812e+02
6.959629058837890625e+01,7.278641510009765625e+01,1.059573898315429688e+02
6.786781311035156250e+01,7.097870635986328125e+01,1.029845428466796875e+02
6.652423858642578125e+01,6.957354736328125000e+01,1.007875671386718750e+02
6.547836303710937500e+01,6.847972106933593750e+01,9.916600799560546875e+01
6.483317565917968750e+01,6.780496978759765625e+01,9.820695495605468750e+01
6.399525451660156250e+01,6.692863464355468750e+01,9.699076843261718750e+01
6.321800231933593750e+01,6.611575317382812500e+01,9.585072326660156250e+01
6.214645004272460938e+01,6.499508666992187500e+01,9.429627990722656250e+01
6.101401519775390625e+01,6.381073379516601562e+01,9.267491149902343750e+01
5.991175079345703125e+01,6.265793991088867188e+01,9.110865783691406250e+01
5.888783645629882812e+01,6.158708953857421875e+01,8.966970825195312500e+01
5.789070892333984375e+01,6.054425430297851562e+01,8.826149749755859375e+01
5.703310394287109375e+01,5.964733886718750000e+01,8.705816650390625000e+01
5.614239120483398438e+01,5.871579742431640625e+01,8.578780364990234375e+01
5.532211685180664062e+01,5.785791397094726562e+01,8.461922454833984375e+01
5.449208068847656250e+01,5.698983001708984375e+01,8.340380859375000000e+01
5.379147338867187500e+01,5.625710678100585938e+01,8.238313293457031250e+01
5.325594329833984375e+01,5.569702911376953125e+01,8.161370849609375000e+01
5.286038589477539062e+01,5.528334426879882812e+01,8.106861114501953125e+01
5.257776641845703125e+01,5.498777008056640625e+01,8.069516754150390625e+01
5.232726287841796875e+01,5.472578048706054688e+01,8.036800384521484375e+01
5.217973327636718750e+01,5.457149124145507812e+01,8.018650817871093750e+01
5.201294708251953125e+01,5.439705657958984375e+01,7.998606109619140625e+01
5.187852859497070312e+01,5.425648117065429688e+01,7.983037567138671875e+01
5.175142288208007812e+01,5.412354278564453125e+01,7.967883300781250000e+01
5.161507034301757812e+01,5.398094177246093750e+01,7.952130889892578125e+01
5.147047424316406250e+01,5.382971572875976562e+01,7.934173583984375000e+01
5.136268234252929688e+01,5.371697998046875000e+01,7.921115875244140625e+01
5.126820373535156250e+01,5.361817169189453125e+01,7.909177398681640625e+01
5.121494293212890625e+01,5.356246948242187500e+01,7.901553344726562500e+01
5.108140945434570312e+01,5.342280960083007812e+01,7.881197357177734375e+01
5.095106506347656250e+01,5.328649520874023438e+01,7.860612487792968750e+01
5.085765457153320312e+01,5.318880081176757812e+01,7.844685363769531250e+01
5.077495193481445312e+01,5.310230636596679688e+01,7.830119323730468750e+01
5.072690963745117188e+01,5.305206298828125000e+01,7.821517944335937500e+01
5.070864105224609375e+01,5.303295898437500000e+01,7.818096160888671875e+01
5.068006515502929688e+01,5.300307083129882812e+01,7.812536621093750000e+01
5.066159820556640625e+01,5.298376083374023438e+01,7.808779907226562500e+01
5.065346908569335938e+01,5.297525405883789062e+01,7.806863403320312500e+01
5.065237426757812500e+01,5.297411346435546875e+01,7.806607055664062500e+01
5.065293884277343750e+01,5.297470092773437500e+01,7.806417846679687500e+01
5.064987182617187500e+01,5.297149658203125000e+01,7.805876922607421875e+01
5.064248657226562500e+01,5.296377182006835938e+01,7.804615783691406250e+01
5.063548278808593750e+01,5.295644760131835938e+01,7.802941131591796875e+01
5.062673187255859375e+01,5.294729614257812500e+01,7.801243591308593750e+01
5.059055328369140625e+01,5.290945816040039062e+01,7.793943023681640625e+01
5.050788879394531250e+01,5.282300567626953125e+01,7.776988983154296875e+01
5.042165374755859375e+01,5.273281478881835938e+01,7.759785461425781250e+01
5.028834152221679688e+01,5.259339523315429688e+01,7.733784484863281250e+01
5.016472244262695312e+01,5.246410751342773438e+01,7.710240936279296875e+01
5.001152801513671875e+01,5.230389404296875000e+01,7.681682586669921875e+01
4.983961105346679688e+01,5.212409591674804688e+01,7.650334930419921875e+01
4.964663696289062500e+01,5.192227554321289062e+01,7.616095733642578125e+01
4.935037612915039062e+01,5.161243438720703125e+01,7.561512756347656250e+01
4.923870086669921875e+01,5.149563980102539062e+01,7.541506958007812500e+01
4.914284896850585938e+01,5.139539337158203125e+01,7.524151611328125000e+01
4.911633682250976562e+01,5.136766815185546875e+01,7.519189453125000000e+01
4.911474609375000000e+01,5.136600112915039062e+01,7.518929290771484375e+01
4.911436462402343750e+01,5.136560058593750000e+01,7.518830108642578125e+01
4.911312103271484375e+01,5.136430358886718750e+01,7.518810272216796875e+01
4.910852050781250000e+01,5.135949325561523438e+01,7.518521118164062500e+01
4.910604476928710938e+01,5.135689926147460938e+01,7.518407440185546875e+01
4.909570312500000000e+01,5.134608078002929688e+01,7.517493438720703125e+01
4.909234619140625000e+01,5.134257507324218750e+01,7.517272949218750000e+01
4.908827590942382812e+01,5.133831787109375000e+01,7.516956329345703125e+01
4.907679748535156250e+01,5.132630920410156250e+01,7.516016387939453125e+01
4.907193374633789062e+01,5.132121658325195312e+01,7.515662384033203125e+01
4.905026626586914062e+01,5.129856109619140625e+01,7.513513946533203125e+01
4.899272537231445312e+01,5.123838424682617188e+01,7.507373809814453125e+01
4.893253707885742188e+01,5.117543029785156250e+01,7.500943756103515625e+01
4.880534362792968750e+01,5.104239654541015625e+01,7.486023712158203125e+01
4.861189270019531250e+01,5.084007263183593750e+01,7.462494659423828125e+01
4.836473846435546875e+01,5.058156967163085938e+01,7.431954956054687500e+01
4.818585968017578125e+01,5.039447402954101562e+01,7.410271453857421875e+01
4.803507614135742188e+01,5.023676300048828125e+01,7.391589355468750000e+01
4.789639282226562500e+01,5.009172058105468750e+01,7.373591613769531250e+01
4.776810455322265625e+01,4.995753479003906250e+01,7.358222198486328125e+01
4.768073654174804688e+01,4.986613464355468750e+01,7.347605133056640625e+01
4.758949279785156250e+01,4.977070617675781250e+01,7.335537719726562500e+01
4.755824279785156250e+01,4.973802566528320312e+01,7.331189727783203125e+01
4.749245071411132812e+01,4.966921615600585938e+01,7.321864318847656250e+01
4.744895935058593750e+01,4.962373733520507812e+01,7.315488433837890625e+01
4.742065811157226562e+01,4.959413528442382812e+01,7.311209106445312500e+01
4.735946273803710938e+01,4.953013992309570312e+01,7.301760864257812500e+01
4.733161163330078125e+01,4.950101470947265625e+01,7.297380065917968750e+01
4.727934646606445312e+01,4.944635009765625000e+01,7.289104461669921875e+01
4.725268554687500000e+01,4.941847229003906250e+01,7.284831237792968750e+01
